Datum,Schwefeldioxid,Kohlenmonoxid,ozon,Stickstoffdioxid,Stickstoffmonoxid,Feinstaub PM10,Lufttemperatur,Luftfeuchte relativ,Luftdruck (hpa),Windgeschwindigkeit (m/s),Regendauer (min)
14.09.2013,1.61,0.3,61.26,16.62,6.14,10.98,17.15,70.3,967.24,1.87,108.97
15.09.2013,1.29,0.22,68.04,10.62,3.5,6.68,16.29,83.3,962.04,1.91,368.12
16.09.2013,1.27,0.23,71.82,18.65,7.05,9.46,12.67,82.91,958.23,2.23,782.87
17.09.2013,1.37,0.2,69.05,12.76,4.38,8.24,10.87,71.3,959.2,3.24,394.37
18.09.2013,1.26,0.18,63.6,9.73,3.08,6.18,14.63,80.9,955.15,4.42,486.15
19.09.2013,1.67,0.28,64.38,26.99,11.1,12.94,13.09,73.39,964.37,1.59,183.87
20.09.2013,1.73,0.27,51.08,23.04,7.97,13.15,14.61,69.28,968.97,1.58,0
21.09.2013,2.25,0.4,70.84,30.48,15.2,13.14,14.87,71.24,974.9,1.14,0
22.09.2013,2.07,0.43,70.43,33.71,15.05,,14.1,75.64,976.69,1,0
23.09.2013,2.12,0.43,65.96,40.58,27.89,,14.97,73.4,973.41,1.69,0
24.09.2013,1.84,0.53,64.12,54.1,45.98,29.01,15.25,78.8,966.99,1.22,0
25.09.2013,1.85,0.51,96.46,47.36,41.1,28.77,17.42,74.79,963.54,1.04,0
26.09.2013,1.44,0.4,60.68,42.02,23.57,25.44,18.21,79.72,964.99,1.67,229.41
27.09.2013,1.27,0.46,40.93,42.97,38.27,31.34,18.27,83.46,964.39,1.19,6.15
28.09.2013,1.35,0.39,26.3,22.36,12.95,24.87,16.58,86.22,960.61,1.7,32.45
29.09.2013,1.48,0.31,32.94,16.25,7.78,21.95,14.18,86.2,956.27,2.63,184.88
30.09.2013,1.79,0.38,33.29,32.68,27.63,29.07,12.63,81.59,957.06,1.49,18.23
01.10.2013,1.87,0.43,18.13,34.99,36.63,,13.45,80.64,960.67,1.34,0
02.10.2013,1.92,0.39,24.4,32.07,23.22,,12,78.06,966.09,2.28,0
03.10.2013,2.28,0.43,27.33,35.15,33.58,28.91,11.28,76.95,968.86,2.19,0
04.10.2013,1.74,0.61,3.86,39.43,65.51,30.67,14.63,89.4,969.09,1.22,292.96
05.10.2013,1.41,0.34,65.84,18.73,9.39,,16.29,80.9,967.72,2.35,429.63
06.10.2013,1.45,0.27,54.85,15.5,6.75,,13.71,85.74,972.46,1.31,533.27
07.10.2013,1.73,0.4,34.41,29.03,25.53,,12.83,82.97,973.22,1.53,0.12
08.10.2013,1.89,0.48,14.4,35.96,35.38,32.08,13.47,85.41,973.09,0.95,0.05
09.10.2013,2.03,0.41,40.88,32.92,17.75,28.63,13.5,81.27,970.02,1.26,2.32
10.10.2013,1.7,0.28,59.33,28.46,9.2,15.17,9.11,79.43,961.2,2.28,530.28
11.10.2013,2.03,0.3,54.67,28.5,16.44,9.87,7.51,78.01,962.51,1.44,65.12
12.10.2013,2.48,0.31,56.51,26.95,11.23,10.13,7.79,75.45,965.28,1.29,117.7
13.10.2013,2.56,0.29,58.84,21.61,7.04,9.18,10.33,72.55,969.06,1.35,169.2
14.10.2013,2.32,0.33,50.41,32.84,16.47,14.62,12.43,76.51,968.02,1.33,240.23
15.10.2013,1.8,0.24,65.86,19.2,6.57,13.43,13.32,77.86,962.93,2.87,540.75
16.10.2013,2,0.31,63.63,32.85,14.18,11.85,12.18,74.57,964.73,1.43,103.43
17.10.2013,2.02,0.33,65.67,32.65,16.16,15.43,13.55,71.72,969.02,1.46,172.25
18.10.2013,2.55,0.44,41.83,42.08,42.81,19.77,11.92,77.28,967.83,1.5,0
19.10.2013,2.47,0.44,54.35,34.16,22.91,22.29,13.74,74.15,966.61,1.52,0
20.10.2013,2.34,0.36,50.06,27.76,10.19,15.22,14.69,76.52,968.31,1.37,285.88
21.10.2013,2.09,0.43,38.31,37.9,37.51,17.42,14.67,83.05,968.57,1.31,139.85
22.10.2013,2.01,0.6,13.64,42.71,69.76,27.1,14.18,85.83,962.24,0.84,0
23.10.2013,1.96,0.44,31.87,46.91,37.14,18.72,13.91,87.93,963.36,1.19,515.07
24.10.2013,1.87,0.52,27.3,45.17,62.09,20.41,12.75,89.81,968.49,1.16,0
25.10.2013,1.9,0.57,9.71,42.09,53.31,24.15,13.33,85.54,967.45,1.15,0.27
26.10.2013,2.42,0.73,32.22,41.12,57.95,26.01,14.61,78.57,968.18,1.05,0
27.10.2013,2.01,0.34,69.38,17.09,10.85,15.49,15.73,75.45,965.98,3.02,364.42
28.10.2013,1.89,0.24,79.47,18.89,8.67,16.4,17.61,56.86,961.31,2.85,67.75
29.10.2013,1.78,0.28,72.94,27.21,12.09,10.51,11.31,76.29,967.69,1.67,453.98
30.10.2013,2.6,0.43,50.22,51.22,35.24,17.31,10.16,70.73,973.12,1.23,0
31.10.2013,2.85,0.48,20.87,46.64,47.79,26.88,7.49,78.14,973.63,1.01,0
01.11.2013,2.34,0.87,2.99,53.17,129.83,44.39,8.64,86.03,969.07,0.94,0
02.11.2013,1.98,0.38,60.71,19.01,14.41,18.23,13.89,74.87,960.69,2.86,277.95
03.11.2013,1.41,0.19,76.46,10.25,2.31,7.41,9.69,77.01,961.12,3.42,590.13
04.11.2013,1.7,0.22,61.61,18.34,5.1,7.5,9.11,75.16,950.66,2.99,523.57
05.11.2013,1.66,0.24,55.88,21.72,9.74,8.86,8.06,76.62,952.13,2.49,411.67
06.11.2013,1.38,0.18,72.42,12.82,2.79,6.89,11.37,77.96,,4.31,600.68
07.11.2013,1.67,0.25,59.78,25.16,8.87,13.93,14.33,67.22,,3.52,0
08.11.2013,2.11,0.29,72.15,27.58,16.54,14.76,13.3,72.28,962.1,2.62,163.82
09.11.2013,1.75,0.25,70.8,17.86,4.55,8.03,9.68,70.87,964.22,2.21,222.12
10.11.2013,1.56,0.2,64.5,12.03,2.39,5.28,6.81,80.5,959.67,2.98,691.37
11.11.2013,2.14,0.35,48.48,37.3,26.36,11.25,5.27,75.99,976.26,1.69,0
12.11.2013,2.64,0.44,38.52,50,55.93,,3.66,74.74,974.86,1.61,0
13.11.2013,2.95,0.46,29.1,41.09,50.75,,3.8,77.49,976.61,1.85,0
14.11.2013,2.13,0.35,29.89,34.42,17.25,23.28,5.2,74.99,970.84,1.53,24.78
15.11.2013,2.34,0.38,29.25,38.02,25.08,19.82,4.43,74.04,969.79,2.41,81.47
16.11.2013,2.39,0.38,11.26,29.07,16.74,15.74,5.04,78.6,975.03,1.52,0.18
17.11.2013,1.9,0.35,15.48,23.13,11.23,15.09,5.02,79.27,970.54,1.17,0
18.11.2013,1.9,0.45,14.84,40.92,45.61,28.87,4.92,86.24,962.04,1.19,0
19.11.2013,1.64,0.47,4.25,35.73,33.91,16.99,4.22,90.83,954.61,1.25,454.52
20.11.2013,1.6,0.47,25.65,32.85,30.97,11.08,3.4,87.83,954.76,1.04,766.83
21.11.2013,1.45,0.41,26.97,41.74,24.71,11.31,2.2,89.08,947.56,1.36,709.63
22.11.2013,1.97,0.58,16.72,48.69,60.53,14.62,1.91,90.9,952.28,0.86,240.47
23.11.2013,2.1,0.65,7.12,39.22,49.48,14.1,3.25,92.55,958.89,1.01,1093.75
24.11.2013,2.41,0.44,32.61,29.79,12.81,13.39,4.76,87.18,965.69,1.34,585.02
25.11.2013,2.63,0.42,51.47,42.97,27.59,12.22,1.88,62.87,975.11,1.74,81.58
26.11.2013,3.07,0.49,29.44,54.8,38.12,19,0.3,68.95,978.85,1.48,3.57
27.11.2013,2.83,0.43,35.81,46.06,31.65,20.97,-1.09,65.55,979.17,2.34,0
28.11.2013,3.82,0.6,16.3,61.18,63.16,33.87,-0.96,71.42,979.76,1.26,0
29.11.2013,3.14,0.53,36.52,50.31,40.13,32.1,1.89,72.51,974.94,1.64,118.57
30.11.2013,2.18,0.51,37.88,45.51,30.08,17.5,1.49,90.24,968.9,1.34,440.08
01.12.2013,2.47,0.47,42.44,37.33,16.45,18.37,1.09,79.48,975.28,1.53,0
02.12.2013,2.07,0.42,41.92,39.83,22.77,17.8,2.52,70.54,976.37,1.61,0
03.12.2013,3.25,0.71,5.54,66.99,97.51,38.72,-0.3,84.8,977.59,0.92,0
04.12.2013,2.55,0.62,22.68,66.32,74.35,39.19,1.11,84.47,976.8,0.99,0
05.12.2013,3.2,0.41,51.81,44.83,34.58,33.83,3.26,75.94,975.47,2.01,0
06.12.2013,1.54,0.21,62.16,21.19,5.13,13.32,4.02,68.41,973.78,3.62,344.38
07.12.2013,2.68,0.38,62.32,40.63,22.57,20.03,3.25,59.45,977.73,1.59,0
08.12.2013,5.32,0.64,23.6,65.48,63.26,29.97,1.59,75.52,978.24,0.66,0
09.12.2013,5.88,0.84,14.62,80.91,128.4,39.82,1.92,75.5,980.83,0.9,0
10.12.2013,5.45,0.97,6.39,83.23,148.02,49.65,1.82,78.03,982.57,0.92,0
11.12.2013,3.69,0.91,4.37,73.44,140.84,43.81,-0.46,87.99,982.47,1.87,0
12.12.2013,1.64,0.77,1.98,66.83,101.68,44.4,-1.11,90.37,979.7,0.82,0
13.12.2013,1.54,0.7,3.65,71.51,86.86,44.25,-1.31,89.53,975.9,0.88,0
14.12.2013,2.11,0.63,7,63.8,48.07,30.46,0.57,90.9,979.68,0.87,187.82
15.12.2013,2.81,0.66,12.41,55.8,59.87,35.43,1.57,92.17,982.18,0.93,0
16.12.2013,3.42,1.06,4.34,77.89,173.37,42.92,0.67,87.62,980.75,1.05,0
17.12.2013,4.59,1.23,3.09,90.07,210.05,54.48,0.7,82.87,977.26,1.35,0
18.12.2013,5.04,1.1,6.31,90.51,196.37,52.19,2.27,82.31,972.83,1.14,0
19.12.2013,4.49,1.02,19.73,84.4,157.23,39.21,3.53,86.6,963.48,0.9,306.73
20.12.2013,2.79,0.57,30.79,63.16,46.98,19.68,5.16,87.21,974.46,1.3,273.25
21.12.2013,2.66,0.4,32.44,43.24,18.76,19.81,1.87,92.11,980.66,1.11,0
22.12.2013,2.8,0.35,63.27,31.54,10.82,20.85,6.49,75.52,974.38,2.21,0
23.12.2013,2.89,0.38,68.12,40.01,21.32,19.92,8.76,67.65,969.54,2.3,5.67
24.12.2013,4.67,0.55,20.39,60.05,42.85,23.51,6.84,69.72,954.73,1.17,0
25.12.2013,3.22,0.35,59.52,38.52,13.58,13.54,6.82,76.6,944.73,1.25,430.17
26.12.2013,1.34,0.23,65.68,18.86,3.39,6,3.53,90.63,947.94,1.53,1028.52
27.12.2013,2.08,0.33,54.32,42.24,18.89,15.3,3.46,83.4,959.19,1.43,0
28.12.2013,3.42,0.43,46.09,47.89,31.9,18.4,4.36,80.3,957.12,1.2,183.83
29.12.2013,2.03,0.21,67.25,19.15,3.19,8.04,5.24,76.55,969.42,1.54,82.13
30.12.2013,2.9,0.4,33.66,46.46,27.79,18.57,2.91,84.62,975.15,1.33,0
31.12.2013,3.76,0.53,15.63,45.93,47.26,31.59,1.01,83.93,968.63,1.8,0
01.01.2014,4.73,0.44,45.72,42.14,21.55,38.54,3.67,77.06,963.81,1.49,230.6
02.01.2014,4.08,0.43,53.17,39.37,24.43,20.43,4.47,84.19,959.44,1.45,170.57
03.01.2014,4.07,0.41,52.29,48.44,41.87,13.61,5.2,80.69,963.94,1.36,117.5
04.01.2014,3.14,0.4,33.91,46.18,18.06,12.52,6.01,87.49,957.66,1.52,405.75
05.01.2014,2.1,0.26,74.5,25.43,5.88,7.97,5.11,80.3,960.26,2.1,281.6
06.01.2014,3.48,0.44,35.9,55.57,34.22,14.17,5.06,71.2,965.12,1.42,0
07.01.2014,4.15,0.6,32.02,60.68,46.62,21.13,8.88,62.31,968.65,1.19,0
08.01.2014,3.78,0.57,23.1,57.92,55.55,22.83,,,971.53,1.33,89.53
09.01.2014,2.85,0.37,50.96,37.26,22.48,17.58,,,966.05,2.12,44.47
10.01.2014,1.47,0.36,75.04,41.17,22.21,9.09,5.58,86.55,968.99,1.82,568.95
11.01.2014,1.94,0.51,9.75,48.07,35.07,25.34,5.24,90.88,969.29,0.92,84.15
12.01.2014,2.25,0.42,27.67,31.96,19.04,23.73,6.3,85.53,971.57,1.47,0
13.01.2014,1.71,0.36,24.24,38.56,24.75,23.46,5.49,81.24,964.98,1.38,89.7
14.01.2014,1.45,0.36,34.15,43.34,23.21,12.5,4.53,90.25,957.85,1.78,927.6
15.01.2014,2.22,0.4,42.45,54.69,42.06,,3.89,81.8,961.87,0.97,32.13
16.01.2014,3.16,0.43,33.81,55.33,43.19,26.68,5.63,75.93,956.66,1.15,175.47
17.01.2014,1.88,0.42,50.55,52.53,33.33,15.8,5.65,85.76,955.54,1.7,329.32
18.01.2014,1.49,0.41,16.87,40.04,19.88,17.65,3.16,88.29,952.27,1.37,0
19.01.2014,1.53,0.45,5.6,34.63,20.89,20.07,2.61,87.63,948.66,0.94,0
20.01.2014,1.78,0.45,12.43,36.49,25.48,22.08,4.51,84.42,952.7,1.23,77.8
21.01.2014,1.57,0.34,33.94,32.75,13.26,11.47,4.53,84.64,960.94,1.63,411.55
22.01.2014,2.56,0.5,16.08,48.04,42.78,20.46,4.63,76.26,961.19,1.35,0
23.01.2014,3.02,0.47,55.76,43.21,50.52,23.42,3.6,81.82,964.61,1.24,93.13
24.01.2014,1.8,0.3,66.51,34.61,12.1,11.43,2.6,79.89,964.4,2.05,325.7
25.01.2014,2.23,0.37,38.82,41.38,14.29,22.21,1.08,80.11,966.69,1.49,0
26.01.2014,1.95,0.21,72.24,15.59,2.32,12.26,4.29,63.18,960.8,2.8,242.95
27.01.2014,1.55,0.24,66.79,25.38,8.01,8.9,4.17,74.59,950.65,2.31,414.05
28.01.2014,2.43,0.35,61.17,44.04,23.21,14.44,3.35,66.19,950.13,1.3,1.05
29.01.2014,2.66,0.43,32.26,53.91,30.31,19.08,0.84,70.13,948.66,1.73,0
30.01.2014,3.28,0.59,11.36,56.89,57.78,33.4,0.61,78.75,953.89,1.54,0
31.01.2014,4.58,0.75,11.97,70.05,100.28,46.37,2.24,74.68,957.83,0.73,0
01.02.2014,4.3,0.6,41.16,56.36,47.2,33.08,3.32,73.67,956.03,1.04,222.68
02.02.2014,2.1,0.34,47.17,33.67,7.32,11.1,3.54,89.64,962.65,0.96,758.47
03.02.2014,2.22,0.45,42.15,41.54,27.42,16.32,3.77,80.42,959.93,1.39,31.27
04.02.2014,3.07,0.61,14.48,53.57,62.27,32.1,3.88,81.82,960.29,1.14,0
05.02.2014,2.27,0.45,62.38,43.31,30.72,20.86,3.35,85.59,954.04,1.47,176.42
06.02.2014,3.03,0.44,62.07,52.73,35.11,18.37,6.58,64.65,958.17,1.45,0
07.02.2014,3.13,0.37,61.09,41.75,33.3,13.89,5.47,75.28,955.11,2.05,240.93
08.02.2014,2.83,0.33,65.08,39.66,15.25,10.44,4.34,76.97,952.35,1.16,75.15
09.02.2014,2.02,0.19,76.74,12.99,2.16,7.62,5.64,61.22,952.23,3.52,86.03
10.02.2014,3.57,0.33,62.28,44.44,19.38,11.92,5.23,60.16,945.07,2.64,169.93
11.02.2014,2.15,0.38,65.45,35.61,22.16,12.89,5.12,75.57,956.55,1.71,296.02
12.02.2014,3,0.4,50.38,48.44,23.29,16.47,5.04,71.82,959.79,1.28,45.37
13.02.2014,2.14,0.26,78.51,31.4,12.63,8.67,5.56,76.77,953.89,3.09,426.52
14.02.2014,2.22,0.32,76.22,43.76,17.64,11.43,4.63,70.57,959.4,2.01,6.38
15.02.2014,3.48,0.33,69.18,33.8,16.26,10.57,7.15,70.45,956.32,1.62,235.05
16.02.2014,2.08,0.25,72.81,22.37,5.88,6.15,5.6,78.27,964.27,1.56,270.73
17.02.2014,2.63,0.36,67.96,43.68,21.8,11.48,5.91,74.17,964.96,1.31,0
18.02.2014,4.4,0.64,9.91,71.92,91.63,27.36,5.17,75.26,965.08,0.84,0
19.02.2014,3.73,0.57,7.03,65.04,57.4,31.76,6.42,79.16,965.41,1.16,61.53
20.02.2014,3.26,0.44,49.94,49.13,26.78,23.94,7.36,69.43,963.94,1.31,4.4
21.02.2014,2.23,0.32,59.03,34.73,11.89,11.77,6.05,78.64,961.87,2.03,669.93
22.02.2014,2.75,0.26,77.88,27.31,11.13,9.88,5.57,69.88,966.98,1.79,312.68
23.02.2014,2.39,0.27,71.16,23.28,6.37,8.24,6.48,73.71,970.84,1.53,0.03
24.02.2014,3.76,0.5,53.53,59.54,51.66,18.79,6.27,65.68,966.65,0.83,0
25.02.2014,4.64,0.48,63.15,66.09,41.42,21.89,7.2,56.11,964.58,1.05,0
26.02.2014,4.11,0.41,60.68,50.83,26.22,18.5,7.12,68.37,965.23,1.62,240.95
27.02.2014,1.85,0.26,60.03,25.82,11.43,9.07,5.38,76.35,967.48,1.95,579.83
28.02.2014,2.11,0.28,70.52,29.02,13.48,7.82,6.82,69.84,955.2,2.06,139.68
01.03.2014,1.82,0.25,75.53,21.08,7.19,6.51,4.47,78.1,952.08,1.57,662.57
02.03.2014,2.5,0.33,52.47,29.04,9.44,11.6,4.35,84.49,952.66,1.21,163.2
03.03.2014,2.4,0.35,62.49,41.65,16.72,14.68,4.46,78.24,945.78,1.57,164.43
04.03.2014,2.7,0.38,37.88,52.99,24.24,12.68,3.95,82.93,952.41,1.3,926.27
05.03.2014,3.17,0.42,49.7,47.44,31.98,17.64,6.04,77.02,965.98,1.2,79.82
06.03.2014,3.35,0.41,57.28,47.04,29.43,28.54,6.56,67.81,974.32,2.15,0
07.03.2014,3.92,0.51,65.85,59.76,33.21,40.53,7.27,65.14,974.42,0.92,0
08.03.2014,4.46,0.54,75.75,47.1,24.94,38.13,8.96,60.21,977.76,2.33,0
09.03.2014,5,0.52,76.46,55.15,18.47,45.04,9.27,55.81,976.89,1.1,0
10.03.2014,5.31,0.58,78.58,65.68,36.28,48.82,9.2,56.93,971.57,1.47,0
11.03.2014,4.56,0.45,59.73,58.53,27.26,33.58,8.96,50.75,973.1,2.4,0
12.03.2014,5.42,0.54,56.74,71.21,39.47,41.59,9.24,51.57,976.81,0.93,0
13.03.2014,5.13,0.67,69.81,78.77,60.21,59.39,10.43,61,976.27,0.68,0
14.03.2014,5.05,0.68,87.4,85.53,61.69,66.52,11.36,59.49,974.23,0.98,0
15.03.2014,3.3,0.41,99.02,39.32,10.47,50.15,9.89,63.48,972.65,1.97,0
16.03.2014,2.4,0.25,84.03,18.67,3.14,13.97,11.79,57.39,973.15,2.52,0
17.03.2014,3.08,0.43,86.98,51.98,25.22,22.34,12.85,55.6,971.21,1.29,0
18.03.2014,3.15,0.35,99.1,42.9,20.73,23.34,13.82,47.38,967.5,1.69,0
19.03.2014,2.47,0.3,77.06,35.23,12.57,19.55,11.74,50.03,974.94,1.76,0
20.03.2014,3.74,0.53,79.27,69.23,37.49,30.21,12.49,52.76,969.46,1.13,0
21.03.2014,3.6,0.39,99.47,48.86,18.94,,14.53,46.99,964.18,1.63,0
22.03.2014,2.16,0.27,77.96,22.49,4.46,16.67,9.68,74.54,958.3,1.98,662.95
23.03.2014,1.6,0.24,74.97,18.25,5.58,5.47,4.26,83.5,957.87,1.59,731.85
24.03.2014,1.92,0.26,66.1,29.44,11.44,8.73,4.31,75.84,961.51,1.49,218.52
25.03.2014,2.45,0.35,61.26,46.51,24.12,16,4.73,65.01,958.51,1.44,1.67
26.03.2014,2.48,0.38,47.39,44.25,20.95,21.73,4.2,69.06,958.86,1.53,0
27.03.2014,4.01,0.52,64.96,64.37,41.08,28.44,7.18,61.86,958.95,1.28,0
28.03.2014,3.84,0.48,79.24,57,31.54,28.83,10.3,55.42,963.69,1.1,0
29.03.2014,4.21,0.51,90.9,51.89,13.22,23.93,11.7,49.29,966.79,1.93,0
30.03.2014,4.5,0.52,105.25,55.1,19.26,22.98,13.21,44.96,965.13,0.8,0
31.03.2014,4.38,0.49,103.17,62.29,24.93,28.09,13.74,48.73,964.06,0.84,0
01.04.2014,3.79,0.46,118.71,56.99,24.43,32.96,14.64,53.17,961.94,1.06,0
02.04.2014,3.26,0.43,95.88,52.72,20.51,31.85,15.94,46.51,958.37,1.18,0
03.04.2014,4.31,0.58,65.72,78.32,40.52,42.97,15.02,51.76,954.92,0.9,0
04.04.2014,3.86,0.5,61.16,50.48,37.04,44.17,13.87,63.57,956.16,1.09,0
05.04.2014,2.63,0.39,31.14,32.64,9.32,32.01,12.17,80.56,964.19,0.87,346.6
06.04.2014,2.23,0.37,87.77,27.67,6.5,18.69,13.64,75.1,969.13,0.84,214.52
07.04.2014,2.71,0.48,68.42,46.03,29.34,23.64,15.15,62.7,967.48,1.44,0
08.04.2014,2.11,0.27,80.69,22.9,5.58,11.05,12.98,66.78,969.39,2.16,479.05
09.04.2014,2.68,0.32,90.41,36.8,13.54,14.61,11.56,43.43,974.07,1.08,0
10.04.2014,3.2,0.41,82.58,47.13,27.75,17.29,12.19,49.59,970.39,1.38,0
11.04.2014,2.81,0.38,73.2,44.83,21.56,15.83,14.56,50.37,965.35,1.78,0
12.04.2014,2.55,0.32,114.9,20,4.35,19.94,15.85,51.78,965.12,1.69,0
13.04.2014,2.43,0.28,113.08,14.59,1.87,18.74,15.43,44.74,967.99,1.67,0
14.04.2014,2.25,0.26,97.19,21.85,5.62,17.61,12.84,46.1,968.29,2.51,0
15.04.2014,2.24,0.29,73.95,27.12,13.47,13.67,8.99,41.15,971.96,2.07,0
16.04.2014,2.17,0.29,82.33,27.71,13.4,,8.3,42.28,974.32,2.89,0
17.04.2014,2.8,0.34,79.95,38.15,17.13,,10.09,42,969.27,1.82,0
18.04.2014,2.66,0.3,87.48,29.58,5.82,12.13,7.39,68.23,962.26,1.51,534.83
19.04.2014,1.87,0.3,65.37,19.39,6.77,9.23,6.18,76.74,958.89,1.46,8.1
20.04.2014,2.74,0.34,93.34,26.93,7.5,14.75,10.61,66.34,955.14,0.97,0
21.04.2014,2.22,0.27,85.3,18.81,2.83,12.83,11.85,72.2,954.75,1.37,222.75
22.04.2014,2.52,0.35,91.58,37.24,17.94,13.1,14.56,61.12,961.62,0.81,0
23.04.2014,2.64,0.35,101.44,38.32,14.81,14.43,15.99,55.63,967,1.26,0
24.04.2014,2.43,0.32,101,33.32,11.97,12.55,17.03,52.87,965.25,1.24,0
25.04.2014,2.4,0.28,108.2,27.38,8.54,17.37,16.38,57.67,960.48,1.9,219.92
26.04.2014,1.83,0.28,97.17,14.34,4.1,11.03,15.11,70.85,960.8,1.36,246.03
27.04.2014,1.59,0.25,92.39,13.06,4,4.16,9.6,84.24,959.64,2.07,1064.68
28.04.2014,1.62,0.27,70.48,25.42,8.64,6.12,8.62,86.53,960.6,1.73,1123.63
29.04.2014,1.82,0.32,65.4,29.35,12.11,11.47,10.36,78.71,962.44,1.05,216.86
30.04.2014,1.87,0.36,64.13,38.98,19.29,11.02,10.25,87.85,960.98,1.36,812.98
01.05.2014,1.74,0.25,72.51,14.69,3.81,6.69,12.09,80.98,961.89,1.46,465.03
02.05.2014,1.74,0.33,70.99,32.64,12.43,7.29,11.27,86.99,961.72,1.24,662.3
03.05.2014,1.8,0.33,55.16,23.56,10.48,11.2,8.33,84.37,967.86,1.95,388.83
04.05.2014,2.27,0.28,96.16,15.01,5.31,14,9.56,58.99,969.35,2.39,0
05.05.2014,2.86,0.38,104.86,41.07,18.64,17.28,12.95,54.78,965.99,1.1,0
06.05.2014,2.16,0.33,105.92,35.25,16.88,18.37,15.73,54.87,964.9,2.28,212.63
07.05.2014,1.41,0.26,101.44,21.23,6.75,11.12,13.44,75.7,965.92,2.34,642.88
08.05.2014,1.53,0.25,89.42,19.1,6.38,9.23,15.55,59.69,967.19,2.15,68
09.05.2014,1.4,0.23,84.2,13.05,4.33,7.88,16.26,68.26,967.5,2.83,354.6
10.05.2014,1.6,0.23,97.14,11.85,3.31,9.53,17.91,53.53,964.91,2.47,24.28
11.05.2014,1.34,0.19,95.2,5.27,1.35,7.49,12.73,65.16,962.04,3.67,339.47
12.05.2014,1.42,0.2,81.11,10.04,2.72,7.13,10.54,61.29,965.14,3.04,133.02
13.05.2014,1.55,0.24,82.06,19.3,7.18,7.36,9.03,75.57,967.59,1.94,490.56
14.05.2014,1.7,0.26,71.57,23.79,9.96,8.79,8.9,78.76,975.71,1.89,526.85
15.05.2014,1.96,0.3,75.39,34.04,17.69,9.56,9.12,72.46,977.9,1.16,322.27
16.05.2014,2.12,0.29,79.89,27.4,13.33,9.99,,,974.33,1.92,35.2
17.05.2014,2.6,0.31,98.44,21.2,6.33,11.49,14,52.02,968.83,2.52,0
18.05.2014,2.61,0.34,119.77,27.84,5.56,13.52,15.61,51.94,963.07,1.21,0
19.05.2014,2.27,0.35,115.14,36.71,18.39,14.46,18.64,44.03,959.49,1.96,39.83
20.05.2014,2.28,0.38,105.89,47.54,16.65,17.19,19.49,40.75,962.54,0.9,0
21.05.2014,2.12,0.35,87.42,41.19,15.64,23.42,21.11,43.3,961.72,1.39,0
22.05.2014,1.8,0.27,81.15,27.91,7.89,35.03,20.26,50.96,959.7,2.04,67.95
23.05.2014,1.53,0.27,97.68,25.15,8.5,8.87,15.66,64.63,961.58,1.8,511.45
24.05.2014,1.68,0.29,104.56,15.07,3.75,7.24,16.03,54.82,965.96,1.47,42.38
25.05.2014,2.01,0.31,109.83,17.08,4.63,9.37,18.4,54.06,966.55,1.8,0
26.05.2014,1.79,0.25,100.8,17.33,3.63,9.32,16.91,62.8,964.13,1.73,40.08
27.05.2014,1.56,0.25,73.05,16.34,3.62,10.52,14.13,74.27,963.29,2.42,150.14
28.05.2014,1.81,0.27,88.94,21.63,7.43,10.97,15.49,60.05,963.03,1.29,0
29.05.2014,2.02,0.25,102.12,15.49,3.78,8.97,16.41,56.08,964.28,1.23,0.27
30.05.2014,1.72,0.29,84.53,22.65,11.12,8.36,13.52,77.71,967.95,1.25,180.8
31.05.2014,2.06,0.29,99.03,16.49,5.84,11.68,13.73,57.14,969,1.76,0.83
01.06.2014,2.58,0.33,109.09,24.69,5.13,12.65,16.41,50.6,968.24,1.19,60.2
02.06.2014,2.33,0.29,107.55,28.25,10.38,15.44,16.63,59.62,967.06,1.58,81.77
03.06.2014,1.99,0.29,117.87,27.91,9.58,15.21,17.01,60.11,964.82,1.58,0
04.06.2014,1.78,0.27,86.68,23.13,6.86,15.37,15.52,72.05,960.95,1.77,232.95
05.06.2014,1.78,0.26,87.8,21.02,8.72,10.17,16.14,56.59,965.28,1.11,36.88
06.06.2014,2.43,0.37,100.97,44.32,19.01,16.98,20.07,53.07,966.27,1.13,0
07.06.2014,2.12,0.4,127,33.24,6.49,25,23.82,49.07,966.99,0.94,0
08.06.2014,2.21,0.39,136.36,28.29,5.34,33.76,25.71,46.51,968.72,0.8,0
09.06.2014,1.94,0.32,128.75,19.08,3.72,33.64,27.27,40.44,968.02,1.54,3.32
10.06.2014,2.04,0.27,131.12,28.49,8.76,27.91,27.64,35.59,968.51,1.63,11.72
11.06.2014,1.86,0.28,142.73,30.37,9.92,17.15,24.61,54.2,972.3,1.77,0
12.06.2014,1.74,0.34,132.35,29.31,8.45,24.26,23.41,67.57,972.08,1.71,132.73
13.06.2014,1.59,0.29,130.65,27.63,9.49,17.63,21.05,71.54,968.53,1.3,82.45
14.06.2014,1.92,0.27,95.27,17.41,6.48,13.94,19.06,56.19,966.1,2.39,0
15.06.2014,2.11,0.22,99.21,12.4,4.01,9.13,18.44,44.93,966.21,2.89,0
16.06.2014,1.95,0.25,112.86,24.05,9.3,,18.83,44.76,966.24,2.29,0
17.06.2014,1.43,0.25,100.22,22.64,8.94,13.75,18.74,48.18,965.9,2.56,0
18.06.2014,1.52,0.26,111.04,26.77,9.42,15.5,19.19,52.17,966.55,2.05,53.57
