<article n="1">
Gerschnialp	NN	unk
.	$.	.
<s lang="de" n="13-19">
Der	ART	d
himmelstrebende	ADJA	himmelstrebend
Vogelflug	NN	Vogelflug
der	ART	d
Schwebebahn	NN	Schwebebahn
hoch	ADJD	hoch
über	APPR	über
die	ART	d
jähen	ADJA	jäh
Steilhänge	NN	Steilhang
der	ART	d
Pfaffenwand	NN	Pfaffenwand
.	$.	.
<s lang="de" n="13-20">
Staublawinen	NN	Staublawine
wirbeln	VVFIN	wirbeln
in	APPR	in
dichten	ADJA	dicht
Schleiern	NN	Schleier
.	$.	.
<s lang="de" n="13-21">
Surrend	ADJD	surrend
schwebt	VVFIN	hinauf+schweben
die	ART	d
Kabine	NN	Kabine
Hunderte	NN	Hundert
von	APPR	von
Metern	NN	Meter
hinauf	PTKVZ	hinauf
.	$.	.
<s lang="de" n="13-22">
Dann	ADV	dann
öffnet	VVFIN	öffnen
sich	PRF	er|es|sie
die	ART	d
schmale	ADJA	schmal
Tür	NN	Tür
.	$.	.
<s lang="de" n="13-23">
Wir	PPER	wir
treten	VVFIN	hinaus+treten
hinaus	PTKVZ	hinaus
.	$.	.
<s lang="de" n="13-24">
Stehen	NN	Stehen
im	APPRART	im
tiefen	ADJA	tief
,	$,	,
lockeren	ADJA	locker
Schnee	NN	Schnee
.	$.	.
<s lang="de" n="13-25">
Schreiten	NN	Schreiten
staunend	ADJD	staunend
durch	APPR	durch
den	ART	d
engen	ADJA	eng
Graben	NN	Graben
zwischen	APPR	zwischen
meterhohen	ADJA	meterhohe
Wällen	NN	Wall
.	$.	.
<s lang="de" n="13-26">
Das	ART	d
Trübseehotel	NN	Trübseehotel
nimmt	VVFIN	auf+nehmen
uns	PRF	wir
auf	PTKVZ	auf
.	$.	.
<s lang="de" n="13-27">
Abend	NN	Abend
.	$.	.
<s lang="de" n="13-28">
Ich	PPER	ich
gehe	VVFIN	gehen
vor	APPR	vor
die	ART	d
Tür	NN	Tür
.	$.	.
<s lang="de" n="13-29">
Es	PPER	es
schneit	VVFIN	schneien
und	KON	und
schneit	VVFIN	schneien
.	$.	.
<s lang="de" n="13-30">
Alles	PIS	alle
ist	VAFIN	sein
weiss	ADJD	weiss
und	KON	und
still	ADJD	still
.	$.	.
<s lang="de" n="13-31">
Meine	PPOSAT	mein
Tritte	NN	Tritt
ersticken	VVFIN	ersticken
in	APPR	in
der	ART	d
weichen	ADJA	weich
Flut	NN	Flut
.	$.	.
<s lang="de" n="13-32">
Ich	PPER	ich
tauche	VVFIN	tauchen
die	ART	d
Hände	NN	Hand
in	APPR	in
den	ART	d
kühlen	ADJA	kühl
Schnee	NN	Schnee
und	KON	und
empfange	VVFIN	empfangen
aus	APPR	aus
Nacht	NN	Nacht
und	KON	und
rieselndem	ADJA	rieselnd
Flockentanz	NN	Flockentanz
den	ART	d
grossen	ADJA	gross
Frieden	NN	Frieden
der	ART	d
Berge	NN	Berg
.	$.	.
<s lang="de" n="13-33">
Der	ART	d
junge	ADJA	jung
Morgen	NN	Morgen
erwacht	VVFIN	erwachen
zögernd	ADJD	zögernd
aus	APPR	aus
Nebel	NN	Nebel
und	KON	und
gewaltigem	ADJA	gewaltig
Neuschneefall	NN	Neuschneefall
.	$.	.
<s lang="de" n="13-34">
Mit	APPR	mit
trotzigem	ADJA	trotzig
Gipfelwillen	NN	Gipfelwillen
unternehmen	VVFIN	unternehmen
wir	PPER	wir
einen	ART	ein
verzweifelten	ADJA	verzweifelt
Angriff	NN	Angriff
auf	APPR	auf
den	ART	d
nahen	ADJA	nah
Bitzistock	NE	Bitzistock
.	$.	.
<s lang="de" n="13-35">
Der	ART	d
kraftvoll	ADJD	kraftvoll
begonnene	ADJA	begonnen
Ansturm	NN	Ansturm
endet	VVFIN	enden
kläglich	ADJD	kläglich
schon	ADV	schon
nach	ADV	nach
wenigen	PIAT	wenig
hundert	CARD	hundert
Metern	NN	Meter
.	$.	.
<s lang="de" n="13-36">
Ich	PPER	ich
versinke	VVFIN	versinken
beim	APPRART	beim
Spuren	NN	Spur
bis	KON	bis
zum	APPRART	zum
Leib	NN	Leib
im	APPRART	im
metertiefen	ADJA	metertief
,	$,	,
lockeren	ADJA	locker
Pulverschnee	NN	Pulverschnee
.	$.	.
<s lang="de" n="13-37">
Am	APPRART	am
Hang	NN	Hang
gleiten	VVFIN	ab+gleiten
die	ART	d
weichen	ADJA	weich
Massen	NN	Masse
haltlos	ADJD	haltlos
mit	APPR	mit
den	ART	d
schlanken	ADJA	schlank
Brettern	NN	Brett
ab	PTKVZ	ab
.	$.	.
<s lang="de" n="13-38">
Die	ART	d
Lungen	NN	Lunge
keuchen	VVFIN	keuchen
vor	APPR	vor
übermächtiger	ADJA	übermächtig
Anstrengung	NN	Anstrengung
.	$.	.
<s lang="de" n="13-39">
Der	ART	d
Gipfel	NN	Gipfel
steckt	VVFIN	stecken
in	APPR	in
dichten	ADJA	dicht
Nebelschwaden	NN	Nebelschwaden
.	$.	.
<s lang="de" n="13-40">
Es	PPER	es
ist	VAFIN	sein
lächerlich	ADJD	lächerlich
,	$,	,
für	ADV	für
ein	ART	ein
Ungewisses	ADJA	ungewiss
Ziel	NN	Ziel
zu	PTKZU	zu
kämpfen	VVINF	kämpfen
.	$.	.
<s lang="de" n="13-41">
Wir	PPER	wir
geben	VVFIN	auf+geben
auf	PTKVZ	auf
.	$.	.
<s lang="de" n="13-42">
In	APPR	in
der	ART	d
Spur	NN	Spur
wühlen	VVFIN	wühlen
wir	PPER	wir
uns	PPER	wir
zurück	PTKVZ	zurück
.	$.	.
<s lang="de" n="13-43">
Ein	ART	eine
heller	ADJA	hell
Ruf	NN	Ruf
hinter	APPR	hinter
mir	PPER	ich
,	$,	,
ich	PPER	ich
blicke	VVFIN	hoch+blicken
hoch	PTKVZ	hoch
.	$.	.
<s lang="de" n="13-44">
Da	ADV	da
!	$.	!
<s lang="de" n="13-45">
...	$.	...
eine	ART	ein
blaue	ADJA	blau
Lücke	NN	Lücke
im	APPRART	im
Wolkenkranz	NN	Wolkenkranz
,	$,	,
herein	ADV	herein
bricht	VVFIN	brechen
volles	ADJA	voll
Sonnenlicht	NN	Sonnenlicht
,	$,	,
weissbestäubte	ADJA	unk
Felsen	NN	Felsen
glitzern	VVINF	glitzern
,	$,	,
ein	ART	ein
wächtenbehangener	ADJA	unk
Gratfirst	NN	Gratfirst
strahlt	VVFIN	strahlen
darüber	PAV	darüber
.	$.	.
<s lang="de" n="13-46">
Schon	ADV	schon
stürzt	VVFIN	stürzen
wieder	ADV	wieder
der	ART	d
Nebel	NN	Nebel
über	APPR	über
das	ART	d
lockende	ADJA	lockend
Bild	NN	Bild
...	$.	...
<s lang="de" n="13-47">
Nebel	NN	Nebel
löscht	VVFIN	löschen
die	ART	d
jäh	ADJD	jäh
aufspringende	ADJA	aufspringend
Hoffnung	NN	Hoffnung
.	$.	.
<s lang="de" n="13-48">
Den	ART	d
ganzen	ADJA	ganz
Tag	NN	Tag
donnern	VVFIN	donnern
ringsum	ADV	ringsum
die	ART	d
Lawinen	NN	Lawine
.	$.	.
<s lang="de" n="13-49">
Es	PPER	es
poltert	VVFIN	poltern
und	KON	und
kracht	VVFIN	krachen
.	$.	.
<s lang="de" n="13-50">
Wie	KOKOM	wie
Wasserfälle	NN	Wasserfall
stürzen	VVFIN	stürzen
die	ART	d
weissen	ADJA	weiss
Lasten	NN	Last
von	APPR	von
den	ART	d
Wänden	NN	Wand
.	$.	.
<s lang="de" n="13-51">
Nachmittags	ADV	nachmittags
setzt	VVFIN	ein+setzen
neuer	ADJA	neu
Schneefall	NN	Schneefall
ein	PTKVZ	ein
.	$.	.
<s lang="de" n="13-52">
Erste	ADJA	erst
Zweifel	NN	Zweifel
an	APPR	an
der	ART	d
Möglichkeit	NN	Möglichkeit
einer	ART	ein
Titlis-	TRUNC	unk
VII7	ADJA	unk
besteigung	NN	Besteigung
werden	VAFIN	werden
wach	ADJD	wach
.	$.	.
<s lang="de" n="13-53">
Wir	PPER	wir
haben	VAFIN	haben
den	ART	d
Berg	NN	Berg
noch	ADV	noch
nicht	PTKNEG	nicht
einmal	ADV	ein#mal
gesehen	VVPP	sehen
.	$.	.
<s lang="de" n="13-54">
Es	PPER	es
schneit	VVFIN	schneien
und	KON	und
schneit	VVFIN	schneien
.	$.	.
<s lang="de" n="13-55">
Ein	ART	eine
wenig	PIS	wenig
traurig	ADJD	traurig
gehen	VVFIN	gehen
wir	PPER	wir
früh	ADJD	früh
zur	APPRART	zur
Ruhe	NN	Ruhe
.	$.	.
<s lang="de" n="13-56">
Am	APPRART	am
andern	ADJA	ander
Morgen	NN	Morgen
sehen	VVFIN	sehen
wir	PPER	wir
den	NE	den
Titlis	NE	Titlis
.	$.	.
<s lang="de" n="13-57">
Er	PPER	er
hebt	VVFIN	heben
sich	PRF	er|es|sie
bleich	ADJD	bleich
und	KON	und
stolz	ADJD	stolz
aus	APPR	aus
Nacht	NN	Nacht
und	KON	und
Tiefe	NN	Tiefe
.	$.	.
<s lang="de" n="13-58">
Die	ART	d
edle	ADJA	edel
Wölbung	NN	Wölbung
der	ART	d
Gipfelkuppe	NN	Gipfelkuppe
entsteigt	VVFIN	entsteigen
sprühend	ADJD	sprühend
den	ART	d
Gletschern	NN	Gletscher
.	$.	.
<s lang="de" n="13-59">
Dunkle	ADJA	dunkel
Felshörner	NN	Felshorn
stehen	VVFIN	stehen
ernst	ADJD	ernst
und	KON	und
starr	ADJD	starr
wie	KOKOM	wie
Wächter	NN	Wächter
.	$.	.
<s lang="de" n="13-60">
Ein	ART	eine
sonniger	ADJA	sonnig
Tag	NN	Tag
beginnt	VVFIN	beginnen
.	$.	.
<s lang="de" n="13-61">
Aber	KON	aber
der	ART	d
Weg	NN	Weg
zum	APPRART	zum
Berg	NN	Berg
ist	VAFIN	sein
verriegelt	VVPP	verriegeln
.	$.	.
<s lang="de" n="13-62">
Gesperrt	VVPP	sperren
durch	APPR	durch
allzu	PTKA	allzu
tiefen	ADJA	tief
Schnee	NN	Schnee
.	$.	.
<s lang="de" n="13-63">
Hundertfach	NN	Hundertfach
bedroht	ADJD	bedroht
durch	APPR	durch
Lawinen	NN	Lawine
,	$,	,
deren	PRELAT	d
weisse	ADJA	weiss
Schlangen	NN	Schlange
mit	APPR	mit
dem	ART	d
ersten	ADJA	erst
Licht	NN	Licht
aus	APPR	aus
den	ART	d
Wänden	NN	Wand
zischen	VVINF	zischen
.	$.	.
<s lang="de" n="13-64">
Wir	PPER	wir
gehen	VVFIN	gehen
zum	APPRART	zum
Jochpass	NE	Jochpass
.	$.	.
<s lang="de" n="13-65">
Meine	PPOSAT	mein
Felle	NN	Fell
zerreissen	VVFIN	zerreissen
beim	APPRART	beim
Anstieg	NN	Anstieg
.	$.	.
<s lang="de" n="13-66">
Auf	APPR	auf
glatt-gewachsten	ADJA	unk
Skiern	NN	Ski
quäle	VVFIN	ab+quälen
ich	PPER	ich
der	ART	d
Höhe	NN	Höhe
Meter	NN	Meter
um	APPR	um
Meter	NN	Meter
ab	PTKVZ	ab
.	$.	.
<s lang="de" n="13-67">
Die	ART	d
Sonne	NN	Sonne
glüht	VVFIN	glühen
.	$.	.
<s lang="de" n="13-68">
In	APPR	in
den	ART	d
Wänden	NN	Wand
des	ART	d
Graustocks	NE	Graustock
toben	VVFIN	toben
Steinschlag	NN	Steinschlag
und	KON	und
Lawinensturz	NN	Lawinensturz
.	$.	.
<s lang="de" n="13-69">
Erschöpft	VVIMP	erschöpfen
erreiche	VVFIN	erreichen
ich	PPER	ich
den	ART	d
Pass	NN	Pass
.	$.	.
<s lang="de" n="13-70">
Gerade	ADV	gerade
senken	VVFIN	senken
sich	PRF	er|es|sie
neue	ADJA	neu
Wolkenschwaden	NN	Wolkenschwade
über	APPR	über
die	ART	d
Berge	NN	Berg
.	$.	.
<s lang="de" n="13-71">
Einen	ADJA	einen
Blick	NN	Blick
noch	ADV	noch
auf	APPR	auf
Titlis	NE	Titlis
,	$,	,
den	PRELS	d
Erhabenen	NN	Erhabene
.	$.	.
<s lang="de" n="13-72">
Dann	ADV	dann
fahren	VVFIN	ab+fahren
wir	PPER	wir
in	APPR	in
sumpfig	ADJD	sumpfig
schlechtem	ADJA	schlecht
Schnee	NN	Schnee
zum	APPRART	zum
Trübsee	NE	Trübsee
ab	PTKVZ	ab
.	$.	.
<s lang="de" n="13-73">
Wir	PPER	wir
landen	VVFIN	landen
im	APPRART	im
Auslauf	NN	Auslauf
der	PDS	d
für	ADV	für
das	ART	d
Oster-Skispringen	NN	Oster-Skispringen
erbauten	ADJA	erbaut
Schanze	NN	Schanze
.	$.	.
<s lang="de" n="13-74">
Sigmund	NE	Sigmund
Ruud	NE	Ruud
,	$,	,
der	PRELS	d
blonde	ADJA	blond
Norweger	NN	Norweger
,	$,	,
setzt	VVFIN	setzen
mit	APPR	mit
knallendem	ADJA	knallend
Schlag	NN	Schlag
den	ART	d
ersten	ADJA	erst
stolzen	ADJA	stolz
Sprung	NN	Sprung
auf	APPR	auf
die	ART	d
Bahn	NN	Bahn
.	$.	.
<s lang="de" n="13-75">
Am	APPRART	am
Abend	NN	Abend
schneit	VVFIN	schneien
es	PPER	es
wieder	PTKVZ	wieder
.	$.	.
<s lang="de" n="13-76">
Es	PPER	es
schneit	VVFIN	schneien
mit	APPR	mit
nie	ADV	nie
gesehener	ADJA	gesehener
Wucht	NN	Wucht
.	$.	.
<s lang="de" n="13-77">
Die	ART	d
Tannen	NN	Tanne
beugen	VVFIN	beugen
sich	PRF	er|es|sie
tief	ADJD	tief
unter	APPR	unter
der	ART	d
weissen	ADJA	weiss
Bürde	NN	Bürde
.	$.	.
<s lang="de" n="13-78">
Aufkommender	ADJA	aufkommend
Sturm	NN	Sturm
peitscht	VVFIN	peitschen
prasselnde	ADJA	prasselnd
Schneekörner	NN	Schneekorn
wider	APPR	wider
die	ART	d
Scheiben	NN	Scheibe
.	$.	.
<s lang="de" n="13-79">
Ein	ART	eine
dumpfes	ADJA	dumpf
Schweigen	NN	Schweigen
umkrallt	VVFIN	umkrallen
unser	PPOSAT	unser
einsames	ADJA	einsam
Haus	NN	Haus
.	$.	.
<s lang="de" n="13-80">
Den	ART	d
Titlis	NE	Titlis
haben	VAFIN	haben
wir	PPER	wir
aufgegeben	VVPP	aufgeben
.	$.	.
<s lang="de" n="13-81">
Ostermontag	NN	Ostermontag
.	$.	.
<s lang="de" n="13-82">
Um	APPR	um
6	CARD	@card@
Uhr	NN	Uhr
morgens	ADV	morgens
Blick	NN	Blick
aus	APPR	aus
dem	ART	d
Fenster	NN	Fenster
:	$.	:
Nebel	NN	Nebel
,	$,	,
Schnee	NN	Schnee
.	$.	.
<s lang="de" n="13-83">
Um	APPR	um
7	CARD	@card@
Uhr	NN	Uhr
:	$.	:
Nebel	NN	Nebel
,	$,	,
Wind	NN	Wind
.	$.	.
<s lang="de" n="13-84">
Wir	PPER	wir
frühstücken	VVFIN	frühstücken
ohne	APPR	ohne
Eile	NN	Eile
,	$,	,
ohne	KOUI	ohne
Pläne	NN	Plan
,	$,	,
ohne	KOUI	ohne
Hoffnung	NN	Hoffnung
.	$.	.
<s lang="de" n="13-85">
Da	ADV	da
höre	VVFIN	hören
ich	PPER	ich
:	$.	:
<s lang="de" n="13-86">
Der	ART	d
Ski-Club	NN	Ski-Club
Beifort	NN	unk
ist	VAFIN	sein
vor	APPR	vor
einer	ART	ein
Stunde	NN	Stunde
zum	APPRART	zum
Titlis	NE	Titlis
aufgebrochen	VVPP	aufbrechen
.	$.	.
<s lang="de" n="13-87">
Wir	PPER	wir
lächeln	VVFIN	lächeln
mit	APPR	mit
den	ART	d
andern	PIS	ander
:	$.	:
Aussichtslos	ADJD	aussichtslos
.	$.	.
<s lang="de" n="13-88">
Zwecklos	ADJD	zwecklos
.	$.	.
<s lang="de" n="13-89">
Gefährlich	ADJA	gefährlich
obendrein	ADV	obendrein
.	$.	.
<s lang="de" n="13-90">
Wir	PPER	wir
frühstücken	VVFIN	frühstücken
weiter	PTKVZ	weiter
.	$.	.
<s lang="de" n="13-91">
Aber	KON	aber
die	ART	d
innere	ADJA	inner
Ruhe	NN	Ruhe
,	$,	,
der	PRELS	d
verzichtende	ADJA	verzichtend
Gleichmut	NN	Gleichmut
sind	VAFIN	sein
vorbei	ADV	vorbei
zwanzig	CARD	zwanzig
Mann	NN	Mann
sind	VAFIN	sein
zum	APPRART	zum
Titlis	NE	Titlis
aufgebrochen	VVPP	aufbrechen
,	$,	,
zwanzig	CARD	zwanzig
Mann	NN	Mann
eine	ART	ein
gute	ADJA	gut
Spur	NN	Spur
muss	VMFIN	müssen
das	PDS	d
sein	VAINF	sein
...	$.	...
<s lang="de" n="13-92">
Plötzlicher	ADJA	plötzlich
Entschluss	NN	Entschluss
.	$.	.
<s lang="de" n="13-93">
Jubelnde	ADJA	jubelnd
Erlösung	NN	Erlösung
nach	APPO	nach
gespanntem	ADJA	gespannt
Überlegen	NN	Überlegen
:	$.	:
Wir	PPER	wir
wollen	VMFIN	wollen
es	PPER	es
versuchen	VVINF	versuchen
!	$.	!
<s lang="de" n="13-94">
Aufbruch	NN	Aufbruch
8	CARD	@card@
Uhr	NN	Uhr
.	$.	.
<s lang="de" n="13-95">
In	APPR	in
dichtem	ADJA	dicht
Nebel	NN	Nebel
ertaste	VVFIN	ertasten
ich	PPER	ich
die	ART	d
tiefgefurchte	ADJA	tiefgefurcht
Spur	NN	Spur
.	$.	.
<s lang="de" n="13-96">
Steil	ADJD	steil
die	ART	d
ersten	ADJA	erst
Hänge	NN	Hang
des	ART	d
Laubersgrates	NN	unk
empor	PTKVZ	empor
.	$.	.
<s lang="de" n="13-97">
Felsabstürze	NN	Felsabsturz
zur	APPRART	zur
Rechten	NN	Recht|Rechte
.	$.	.
<s lang="de" n="13-98">
Oft	ADV	oft
und	KON	und
oft	ADV	oft
prüfe	VVFIN	prüfen
ich	PPER	ich
den	ART	d
Schnee	NN	Schnee
hier	ADV	hier
ist	VAFIN	sein
gestern	ADV	gestern
eine	ART	ein
mächtige	ADJA	mächtig
Laue	NN	Laue
zum	APPRART	zum
See	NN	See
abgefahren	VVPP	abfahren
.	$.	.
<s lang="de" n="13-99">
Das	ART	d
unruhige	ADJA	unruhig
Hasten	NN	Hasten
der	ART	d
ersten	ADJA	erst
Schritte	NN	Schritt
geht	VVFIN	über+gehen
in	APPR	in
den	ART	d
beschwingenden	ADJA	beschwingend
Rhythmus	NN	Rhythmus
gleichmässigen	ADJA	gleichmässig
Steigens	NN	Steigen
über	PTKVZ	über
.	$.	.
<s lang="de" n="13-100">
Am	APPRART	am
Steilhang	NN	Steilhang
schleichen	VVFIN	schleichen
wir	PPER	wir
beklommen	ADJD	beklommen
entlang	PTKVZ	entlang
.	$.	.
<s lang="de" n="13-101">
Lawinendonner	NN	Lawinendonner
füllt	VVFIN	füllen
die	ART	d
Luft	NN	Luft
.	$.	.
<s lang="de" n="13-102">
Nach	APPR	nach
einer	ART	ein
halben	ADJA	halb
Stunde	NN	Stunde
nimmt	VVFIN	ab+nehmen
die	ART	d
Neigung	NN	Neigung
ab	PTKVZ	ab
.	$.	.
<s lang="de" n="13-103">
Gleichzeitig	ADJD	gleichzeitig
lichten	VVFIN	lichten
sich	PRF	er|es|sie
die	ART	d
Nebelschleier	NN	Nebelschleier
.	$.	.
<s lang="de" n="13-104">
Hundert	NN	Hundert
Meter	NN	Meter
höher	ADJD	hoch
grüssen	VVFIN	grüssen
wir	PPER	wir
die	ART	d
liebe	ADJA	lieb
Sonne	NN	Sonne
!	$.	!
<s lang="de" n="13-105">
Was	PWS	was
soll	VMFIN	sollen
ich	PPER	ich
von	APPR	von
dem	ART	d
Wunderbaren	NN	Wunderbare
sagen	VVINF	sagen
,	$,	,
das	PRELS	d
uns	PPER	wir
dieser	PDAT	dies
Morgen	NN	Morgen
gab	VVFIN	geben
!	$.	!
<s lang="de" n="13-106">
Vom	APPRART	vom
Seidenblau	NN	Seidenblau
des	ART	d
Himmels	NN	Himmel
,	$,	,
vom	APPRART	vom
Gold	NN	Gold
der	ART	d
Sonne	NN	Sonne
,	$,	,
vom	APPRART	vom
funkelnden	ADJA	funkelnd
Schnee	NN	Schnee
?	$.	?
<s lang="de" n="13-107">
Wer	PWS	wer
je	ADV	je
dergleichen	PIS	dergleichen
erlebte	VVFIN	erleben
,	$,	,
braucht	VVFIN	brauchen
der	ART	d
schalen	ADJA	schal
Worte	NN	Wort
nicht	PTKNEG	nicht
.	$.	.
<s lang="de" n="13-108">
Und	KON	und
wer	PWS	wer
der	ART	d
Berge	NN	Berg
tausend	CARD	tausend
Wunder	NN	Wunder
nie	ADV	nie
empfing	VVFIN	empfangen
,	$,	,
bleibt	VVFIN	bleiben
auch	ADV	auch
des	ART	d
grössten	ADJA	gross
Dichters	NN	Dichter
Liedern	NN	Lied
fremd	ADJD	fremd
.	$.	.
<s lang="de" n="13-109">
Immer	ADV	immer
mehr	ADV	mehr
entringen	VVFIN	entringen
wir	PPER	wir
uns	PRF	wir
den	ART	d
nachflatternden	ADJA	nachflatternd
Nebelfetzen	NN	Nebelfetzen
.	$.	.
<s lang="de" n="13-110">
Zu	APPR	zu
unseren	PPOSAT	unser
Füssen	NN	Fuss
breitet	VVFIN	breiten
sich	PRF	er|es|sie
ein	ART	ein
wallendes	ADJA	wallend
Wolkenmeer	NN	Wolkenmeer
.	$.	.
<s lang="de" n="13-111">
Die	ART	d
Gletscherwand	NN	Gletscherwand
des	ART	d
Reissend	NE	Reissend
Nollen	NE	Nollen
steigt	VVFIN	steigen
märchenhaft	ADJD	märchenhaft
strahlend	ADJD	strahlend
in	APPR	in
die	ART	d
blaue	ADJA	blau
Luft	NN	Luft
.	$.	.
<s lang="de" n="13-112">
Wie	KOKOM	wie
zerfallene	ADJA	zerfallen
Burgen	NN	Burg
ragen	VVFIN	ragen
düster	ADJD	düster
die	ART	d
Wendenstöcke	NE	Wendenstöcke
.	$.	.
<s lang="de" n="13-113">
Rufen	NN	Ruf|Rufen
und	KON	und
Singen	NE	Singen
hoch	ADJD	hoch
über	APPR	über
uns	PRF	wir
.	$.	.
<s lang="de" n="13-114">
Die	ART	d
Franzosen	NN	Franzose
!	$.	!
<s lang="de" n="13-115">
Eine	ART	ein
Steilrinne	NN	Steilrinne
,	$,	,
schnee-brettgefährlich	ADJA	schnee-brettgefährlich
,	$,	,
hält	VVFIN	auf+halten
sie	PPER	sie
auf	PTKVZ	auf
.	$.	.
<s lang="de" n="13-116">
Wir	PPER	wir
nähern	VVFIN	nähern
uns	PRF	wir
rasch	ADJD	rasch
.	$.	.
<s lang="de" n="13-117">
Der	ART	d
Neuschnee	NN	Neuschnee
liegt	VVFIN	liegen
pulvrig	ADJA	pulvrig
auf	APPR	auf
frosthartem	ADJA	frosthart
Grund	NN	Grund
.	$.	.
<s lang="de" n="13-118">
Die	ART	d
sanft	ADJD	sanft
gleitenden	ADJA	gleitend
Skier	NN	Ski
singen	VVFIN	singen
hell	ADJD	hell
und	KON	und
fein	ADJD	fein
ihr	PPOSAT	ihr
Wanderlied	NN	Wanderlied
.	$.	.
<s lang="de" n="13-119">
Stufe	NN	Stufe
um	APPR	um
Stufe	NN	Stufe
.	$.	.
<s lang="de" n="13-120">
Wir	PPER	wir
steigen	VVFIN	steigen
mühelos	ADJD	mühelos
.	$.	.
<s lang="de" n="13-121">
So	ADV	so
sollte	VMFIN	sollen
das	ART	d
Leben	NN	Leben
sein	PPOSAT	sein
so	ADV	so
leicht	ADJD	leicht
,	$,	,
so	ADV	so
schwebend	ADJD	schwebend
,	$,	,
so	ADV	so
schön	ADJD	schön
!	$.	!
<s lang="de" n="13-122">
Im	APPRART	im
engen	ADJA	eng
Gletschertal	NN	unk
zwischen	APPR	zwischen
Rotstöckli	NE	Rotstöckli
und	KON	und
Rotegg	NE	unk
wird	VAFIN	werden
es	PPER	es
steil	ADJD	steil
.	$.	.
<s lang="de" n="13-123">
Wir	PPER	wir
rücken	VVFIN	vor+rücken
langsam	ADJD	langsam
vor	PTKVZ	vor
.	$.	.
<s lang="de" n="13-124">
Kehre	NN	Kehre
um	APPR	um
Kehre	NN	Kehre
versinkt	VVFIN	versinken
.	$.	.
<s lang="de" n="13-125">
Ein	ART	eine
eiskalter	ADJA	eiskalt
Wind	NN	Wind
braust	VVFIN	brausen
von	APPR	von
den	ART	d
Felsen	NN	Felsen
her	PTKVZ	her
und	KON	und
wirbelt	VVFIN	wirbeln
Staubschnee	NN	Staubschnee
in	APPR	in
die	ART	d
verwehte	ADJA	verweht
Spur	NN	Spur
.	$.	.
<s lang="de" n="13-126">
Ein	ART	eine
alleingehender	ADJA	alleingehend
Schweizer	NN	Schweizer
holt	VVFIN	ein+holen
uns	PRF	wir
ein	PTKVZ	ein
,	$,	,
geht	VVFIN	weiter+gehen
mit	APPR	mit
uns	PRF	wir
weiter	PTKVZ	weiter
.	$.	.
<s lang="de" n="13-127">
Die	ART	d
Nachhut	NN	Nachhut
der	ART	d
Franzosen	NN	Franzose
wird	VAFIN	werden
überholt	ADJD	überholt
.	$.	.
<s lang="de" n="13-128">
Ein	ART	eine
breiter	ADJA	breit
Lawinenzug	NN	Lawinenzug
spricht	VVFIN	sprechen
ernste	ADJA	ernst
Warnung	NN	Warnung
.	$.	.
<s lang="de" n="13-129">
Zur	APPRART	zur
Rechten	NN	Recht|Rechte
schimmert	VVFIN	schimmern
eine	ART	ein
Wand	NN	Wand
aus	APZR	aus
blankem	ADJA	blank
Eis	NN	Eis
,	$,	,
zur	APPRART	zur
Linken	NN	Linke
glänzen	VVFIN	glänzen
die	ART	d
blauen	ADJA	blau
Türme	NN	Turm
und	KON	und
Spalten	NN	Spalte
des	ART	d
Gletscherbruchs	NN	Gletscherbruch
.	$.	.
<s lang="de" n="13-130">
Dazwischen	PAV	dazwischen
eine	ART	ein
schmale	ADJA	schmal
Gasse	NN	Gasse
.	$.	.
<s lang="de" n="13-131">
Immer	ADV	immer
steiler	ADJD	steil
die	ART	d
Spur	NN	Spur
.	$.	.
<s lang="de" n="13-132">
Immer	ADV	immer
kälter	ADJD	kalt
der	ART	d
Wind	NN	Wind
.	$.	.
<s lang="de" n="13-133">
Und	KON	und
immer	ADV	immer
strahlender	ADJD	strahlend
die	ART	d
Sonne	NN	Sonne
.	$.	.
<s lang="de" n="13-134">
Kurze	ADJA	kurz
Rast	NN	Rast
.	$.	.
<s lang="de" n="13-135">
Letzter	ADJA	letzt
Anstieg	NN	Anstieg
zum	APPRART	zum
Joch	NN	Joch
beim	APPRART	beim
Rotegg	NE	unk
.	$.	.
<s lang="de" n="13-136">
Die	ART	d
Franzosen	NN	Franzose
sind	VAFIN	sein
eingeholt	VVPP	einholen
.	$.	.
<s lang="de" n="13-137">
Vor	APPR	vor
uns	PRF	wir
die	PDS	d
blanke	ADJA	blank
Firnkuppe	NN	Firnkuppe
des	ART	d
Gipfels	NN	Gipfel
.	$.	.
<s lang="de" n="13-138">
Nebel	NN	Nebel
streichen	VVFIN	streichen
vom	APPRART	vom
Gletscher	NN	Gletscher
herauf	PTKVZ	herauf
.	$.	.
<s lang="de" n="13-139">
Schneeflocken	NN	Schneeflocke
tanzen	VVFIN	tanzen
im	APPRART	im
Sturm	NN	Sturm
.	$.	.
<s lang="de" n="13-140">
Ich	PPER	ich
übernehme	VVFIN	übernehmen
Führung	NN	Führung
und	KON	und
Spurarbeit	NN	Spurarbeit
.	$.	.
<s lang="de" n="13-141">
Hoch	NN	Hoch
über	APPR	über
dem	ART	d
tiefverschneiten	ADJA	tiefverschneit
Gletscher	NN	Gletscher
queren	VVFIN	queren
wir	PPER	wir
hinaus	ADV	hinaus
zum	APPRART	zum
Gipfelgrat	NN	Gipfelgrat
.	$.	.
