   t_n,    f_n
5.7179, 4.9910
5.7224, 4.9908
5.7269, 4.9907
5.7314, 4.9905
5.7359, 4.9904
5.7404, 4.9903
5.7449, 4.9902
5.7494, 4.9901
5.7539, 4.9901
5.7584, 4.9901
5.7629, 4.9901
5.7674, 4.9901
5.7719, 4.9901
5.7764, 4.9902
5.7809, 4.9903
5.7854, 4.9904
5.7899, 4.9905
5.7944, 4.9906
5.7989, 4.9908
5.8034, 4.9909
5.8079, 4.9911
5.8124, 4.9913
5.8169, 4.9915
5.8214, 4.9918
5.8259, 4.9920
5.8304, 4.9923
5.8349, 4.9926
5.8394, 4.9929
5.8439, 4.9932
5.8484, 4.9935
5.8529, 4.9938
5.8574, 4.9942
5.8619, 4.9945
5.8664, 4.9949
5.8709, 4.9952
5.8754, 4.9956
5.8799, 4.9960
5.8844, 4.9963
5.8889, 4.9967
5.8934, 4.9971
5.8979, 4.9975
5.9025, 4.9979
5.9070, 4.9983
5.9115, 4.9987
5.9160, 4.9991
5.9205, 4.9995
5.9250, 4.9999
5.9295, 5.0003
5.9340, 5.0007
5.9385, 5.0011
5.9430, 5.0014
5.9475, 5.0018
5.9520, 5.0022
5.9565, 5.0025
5.9610, 5.0029
5.9655, 5.0032
5.9700, 5.0036
5.9745, 5.0039
5.9790, 5.0042
5.9835, 5.0045
5.9880, 5.0048
5.9925, 5.0051
5.9970, 5.0054
6.0015, 5.0056
6.0060, 5.0059
6.0105, 5.0061
6.0150, 5.0063
6.0195, 5.0065
6.0240, 5.0067
6.0285, 5.0069
6.0330, 5.0070
6.0375, 5.0072
6.0420, 5.0073
6.0465, 5.0074
6.0510, 5.0075
6.0555, 5.0076
6.0600, 5.0076
6.0645, 5.0077
6.0690, 5.0077
6.0735, 5.0077
6.0780, 5.0077
6.0825, 5.0077
6.0870, 5.0077
6.0915, 5.0076
6.0960, 5.0076
6.1006, 5.0075
6.1051, 5.0074
6.1096, 5.0073
6.1141, 5.0072
6.1186, 5.0070
6.1231, 5.0069
6.1276, 5.0067
6.1321, 5.0065
6.1366, 5.0064
6.1411, 5.0062
6.1456, 5.0059
6.1501, 5.0057
6.1546, 5.0055
6.1591, 5.0053
6.1636, 5.0050
6.1681, 5.0048
6.1726, 5.0045
6.1771, 5.0042
6.1816, 5.0039
6.1861, 5.0037
6.1906, 5.0034
6.1951, 5.0031
6.1996, 5.0028
6.2041, 5.0025
6.2086, 5.0022
6.2131, 5.0019
6.2176, 5.0016
6.2221, 5.0012
6.2266, 5.0009
6.2311, 5.0006
6.2356, 5.0003
6.2401, 5.0000
6.2446, 4.9997
6.2491, 4.9994
6.2536, 4.9991
6.2581, 4.9988
6.2626, 4.9985
6.2671, 4.9982
6.2716, 4.9980
6.2761, 4.9977
6.2806, 4.9974
6.2851, 4.9972
6.2896, 4.9969
6.2941, 4.9967
6.2986, 4.9964
6.3032, 4.9962
6.3077, 4.9960
6.3122, 4.9958
6.3167, 4.9956
6.3212, 4.9954
6.3257, 4.9952
6.3302, 4.9951
6.3347, 4.9949
6.3392, 4.9948
6.3437, 4.9946
6.3482, 4.9945
6.3527, 4.9944
6.3572, 4.9943
6.3617, 4.9942
6.3662, 4.9942
6.3707, 4.9941
6.3752, 4.9941
6.3797, 4.9940
6.3842, 4.9940
6.3887, 4.9940
6.3932, 4.9940
6.3977, 4.9940
6.4022, 4.9940
6.4067, 4.9941
6.4112, 4.9941
6.4157, 4.9942
6.4202, 4.9943
6.4247, 4.9944
6.4292, 4.9945
6.4337, 4.9946
6.4382, 4.9947
6.4427, 4.9948
6.4472, 4.9949
6.4517, 4.9951
6.4562, 4.9952
6.4607, 4.9954
6.4652, 4.9956
6.4697, 4.9958
6.4742, 4.9960
6.4787, 4.9961
6.4832, 4.9963
6.4877, 4.9966
6.4922, 4.9968
6.4967, 4.9970
6.5013, 4.9972
6.5058, 4.9974
6.5103, 4.9977
6.5148, 4.9979
6.5193, 4.9981
6.5238, 4.9984
6.5283, 4.9986
6.5328, 4.9988
6.5373, 4.9991
6.5418, 4.9993
6.5463, 4.9996
6.5508, 4.9998
6.5553, 5.0000
6.5598, 5.0003
6.5643, 5.0005
6.5688, 5.0007
6.5733, 5.0010
6.5778, 5.0012
6.5823, 5.0014
6.5868, 5.0016
6.5913, 5.0018
6.5958, 5.0021
6.6003, 5.0023
6.6048, 5.0024
6.6093, 5.0026
6.6138, 5.0028
6.6183, 5.0030
6.6228, 5.0032
6.6273, 5.0033
6.6318, 5.0035
6.6363, 5.0036
6.6408, 5.0037
6.6453, 5.0039
6.6498, 5.0040
6.6543, 5.0041
6.6588, 5.0042
6.6633, 5.0043
6.6678, 5.0044
6.6723, 5.0044
6.6768, 5.0045
6.6813, 5.0046
6.6858, 5.0046
6.6903, 5.0046
6.6948, 5.0047
6.6993, 5.0047
6.7039, 5.0047
6.7084, 5.0047
6.7129, 5.0047
6.7174, 5.0046
6.7219, 5.0046
6.7264, 5.0046
6.7309, 5.0045
6.7354, 5.0044
6.7399, 5.0044
6.7444, 5.0043
6.7489, 5.0042
6.7534, 5.0041
6.7579, 5.0040
6.7624, 5.0039
6.7669, 5.0038
6.7714, 5.0037
6.7759, 5.0035
6.7804, 5.0034
6.7849, 5.0033
6.7894, 5.0031
6.7939, 5.0030
6.7984, 5.0028
6.8029, 5.0026
6.8074, 5.0025
6.8119, 5.0023
6.8164, 5.0021
6.8209, 5.0020
6.8254, 5.0018
6.8299, 5.0016
6.8344, 5.0014
6.8389, 5.0012
6.8434, 5.0010
6.8479, 5.0009
6.8524, 5.0007
6.8569, 5.0005
6.8614, 5.0003
6.8659, 5.0001
6.8704, 4.9999
6.8749, 4.9997
6.8794, 4.9996
6.8839, 4.9994
6.8884, 4.9992
6.8929, 4.9990
6.8974, 4.9989
6.9020, 4.9987
6.9065, 4.9985
6.9110, 4.9984
6.9155, 4.9982
6.9200, 4.9981
6.9245, 4.9979
6.9290, 4.9978
6.9335, 4.9976
6.9380, 4.9975
6.9425, 4.9974
6.9470, 4.9973
6.9515, 4.9972
6.9560, 4.9971
6.9605, 4.9970
6.9650, 4.9969
6.9695, 4.9968
6.9740, 4.9967
6.9785, 4.9966
6.9830, 4.9966
6.9875, 4.9965
6.9920, 4.9965
6.9965, 4.9964
7.0010, 4.9964
7.0055, 4.9964
7.0100, 4.9964
7.0145, 4.9964
7.0190, 4.9964
7.0235, 4.9964
7.0280, 4.9964
7.0325, 4.9964
7.0370, 4.9964
7.0415, 4.9965
7.0460, 4.9965
7.0505, 4.9966
7.0550, 4.9966
7.0595, 4.9967
7.0640, 4.9967
7.0685, 4.9968
7.0730, 4.9969
7.0775, 4.9970
7.0820, 4.9971
7.0865, 4.9972
7.0910, 4.9973
7.0955, 4.9974
7.1001, 4.9975
7.1046, 4.9976
7.1091, 4.9977
7.1136, 4.9978
7.1181, 4.9980
7.1226, 4.9981
7.1271, 4.9982
7.1316, 4.9984
7.1361, 4.9985
7.1406, 4.9986
7.1451, 4.9988
7.1496, 4.9989
7.1541, 4.9991
7.1586, 4.9992
7.1631, 4.9994
7.1676, 4.9995
7.1721, 4.9997
7.1766, 4.9998
7.1811, 4.9999
7.1856, 5.0001
7.1901, 5.0002
7.1946, 5.0004
7.1991, 5.0005
7.2036, 5.0007
7.2081, 5.0008
7.2126, 5.0009
7.2171, 5.0010
7.2216, 5.0012
7.2261, 5.0013
7.2306, 5.0014
7.2351, 5.0015
7.2396, 5.0016
7.2441, 5.0018
7.2486, 5.0019
7.2531, 5.0020
7.2576, 5.0020
7.2621, 5.0021
7.2666, 5.0022
7.2711, 5.0023
7.2756, 5.0024
7.2801, 5.0024
7.2846, 5.0025
7.2891, 5.0026
7.2936, 5.0026
7.2981, 5.0027
7.3027, 5.0027
7.3072, 5.0027
7.3117, 5.0028
7.3162, 5.0028
7.3207, 5.0028
7.3252, 5.0028
7.3297, 5.0028
7.3342, 5.0028
7.3387, 5.0028
7.3432, 5.0028
7.3477, 5.0028
7.3522, 5.0028
7.3567, 5.0027
7.3612, 5.0027
7.3657, 5.0027
7.3702, 5.0026
7.3747, 5.0026
7.3792, 5.0025
7.3837, 5.0025
7.3882, 5.0024
7.3927, 5.0023
7.3972, 5.0023
7.4017, 5.0022
7.4062, 5.0021
7.4107, 5.0020
7.4152, 5.0019
7.4197, 5.0018
7.4242, 5.0018
7.4287, 5.0017
7.4332, 5.0016
7.4377, 5.0015
7.4422, 5.0013
7.4467, 5.0012
7.4512, 5.0011
7.4557, 5.0010
7.4602, 5.0009
7.4647, 5.0008
7.4692, 5.0007
7.4737, 5.0006
7.4782, 5.0005
7.4827, 5.0004
7.4872, 5.0002
7.4917, 5.0001
7.4962, 5.0000
7.5008, 4.9999
7.5053, 4.9998
7.5098, 4.9997
7.5143, 4.9996
7.5188, 4.9995
7.5233, 4.9994
7.5278, 4.9993
7.5323, 4.9992
7.5368, 4.9991
7.5413, 4.9990
7.5458, 4.9989
7.5503, 4.9988
7.5548, 4.9987
7.5593, 4.9986
7.5638, 4.9985
7.5683, 4.9985
7.5728, 4.9984
7.5773, 4.9983
7.5818, 4.9983
7.5863, 4.9982
7.5908, 4.9981
7.5953, 4.9981
7.5998, 4.9980
7.6043, 4.9980
7.6088, 4.9980
7.6133, 4.9979
7.6178, 4.9979
7.6223, 4.9979
7.6268, 4.9978
7.6313, 4.9978
7.6358, 4.9978
7.6403, 4.9978
7.6448, 4.9978
7.6493, 4.9978
7.6538, 4.9978
7.6583, 4.9978
7.6628, 4.9978
7.6673, 4.9979
7.6718, 4.9979
7.6763, 4.9979
7.6808, 4.9979
7.6853, 4.9980
7.6898, 4.9980
7.6943, 4.9980
7.6988, 4.9981
7.7034, 4.9981
7.7079, 4.9982
7.7124, 4.9983
7.7169, 4.9983
7.7214, 4.9984
7.7259, 4.9984
7.7304, 4.9985
7.7349, 4.9986
7.7394, 4.9987
7.7439, 4.9987
7.7484, 4.9988
7.7529, 4.9989
7.7574, 4.9990
7.7619, 4.9991
7.7664, 4.9991
7.7709, 4.9992
7.7754, 4.9993
7.7799, 4.9994
7.7844, 4.9995
7.7889, 4.9996
7.7934, 4.9997
7.7979, 4.9997
7.8024, 4.9998
7.8069, 4.9999
7.8114, 5.0000
7.8159, 5.0001
7.8204, 5.0002
7.8249, 5.0003
7.8294, 5.0003
7.8339, 5.0004
7.8384, 5.0005
7.8429, 5.0006
7.8474, 5.0007
7.8519, 5.0007
7.8564, 5.0008
7.8609, 5.0009
7.8654, 5.0010
7.8699, 5.0010
7.8744, 5.0011
7.8789, 5.0011
7.8834, 5.0012
7.8879, 5.0013
7.8924, 5.0013
7.8969, 5.0014
7.9015, 5.0014
7.9060, 5.0015
7.9105, 5.0015
7.9150, 5.0015
7.9195, 5.0016
7.9240, 5.0016
7.9285, 5.0016
7.9330, 5.0016
7.9375, 5.0017
7.9420, 5.0017
7.9465, 5.0017
7.9510, 5.0017
7.9555, 5.0017
7.9600, 5.0017
7.9645, 5.0017
7.9690, 5.0017
7.9735, 5.0017
7.9780, 5.0017
7.9825, 5.0017
7.9870, 5.0016
7.9915, 5.0016
7.9960, 5.0016
8.0005, 5.0016
8.0050, 5.0015
8.0095, 5.0015
8.0140, 5.0015
8.0185, 5.0014
8.0230, 5.0014
8.0275, 5.0013
8.0320, 5.0013
8.0365, 5.0013
8.0410, 5.0012
8.0455, 5.0011
8.0500, 5.0011
8.0545, 5.0010
8.0590, 5.0010
8.0635, 5.0009
8.0680, 5.0009
8.0725, 5.0008
8.0770, 5.0007
8.0815, 5.0007
8.0860, 5.0006
8.0905, 5.0005
8.0950, 5.0005
8.0995, 5.0004
8.1041, 5.0003
8.1086, 5.0003
8.1131, 5.0002
8.1176, 5.0001
8.1221, 5.0000
8.1266, 5.0000
8.1311, 4.9999
8.1356, 4.9998
8.1401, 4.9998
8.1446, 4.9997
8.1491, 4.9997
8.1536, 4.9996
8.1581, 4.9995
8.1626, 4.9995
8.1671, 4.9994
8.1716, 4.9994
8.1761, 4.9993
8.1806, 4.9992
8.1851, 4.9992
8.1896, 4.9991
8.1941, 4.9991
8.1986, 4.9991
8.2031, 4.9990
8.2076, 4.9990
8.2121, 4.9989
8.2166, 4.9989
8.2211, 4.9989
8.2256, 4.9988
8.2301, 4.9988
8.2346, 4.9988
8.2391, 4.9988
8.2436, 4.9987
8.2481, 4.9987
8.2526, 4.9987
8.2571, 4.9987
8.2616, 4.9987
8.2661, 4.9987
8.2706, 4.9987
8.2751, 4.9987
8.2796, 4.9987
8.2841, 4.9987
8.2886, 4.9987
8.2931, 4.9987
8.2976, 4.9987
8.3022, 4.9987
8.3067, 4.9987
8.3112, 4.9988
8.3157, 4.9988
8.3202, 4.9988
8.3247, 4.9988
8.3292, 4.9989
8.3337, 4.9989
8.3382, 4.9989
8.3427, 4.9990
8.3472, 4.9990
8.3517, 4.9990
8.3562, 4.9991
8.3607, 4.9991
8.3652, 4.9992
8.3697, 4.9992
8.3742, 4.9993
8.3787, 4.9993
8.3832, 4.9993
8.3877, 4.9994
8.3922, 4.9994
8.3967, 4.9995
8.4012, 4.9996
8.4057, 4.9996
8.4102, 4.9997
8.4147, 4.9997
8.4192, 4.9998
8.4237, 4.9998
8.4282, 4.9999
8.4327, 4.9999
8.4372, 5.0000
8.4417, 5.0000
8.4462, 5.0001
8.4507, 5.0001
8.4552, 5.0002
8.4597, 5.0002
8.4642, 5.0003
8.4687, 5.0003
8.4732, 5.0004
8.4777, 5.0004
8.4822, 5.0005
8.4867, 5.0005
8.4912, 5.0006
8.4957, 5.0006
8.5003, 5.0006
8.5048, 5.0007
8.5093, 5.0007
8.5138, 5.0007
8.5183, 5.0008
8.5228, 5.0008
8.5273, 5.0008
8.5318, 5.0009
8.5363, 5.0009
8.5408, 5.0009
8.5453, 5.0009
8.5498, 5.0010
8.5543, 5.0010
8.5588, 5.0010
8.5633, 5.0010
8.5678, 5.0010
8.5723, 5.0010
8.5768, 5.0010
8.5813, 5.0010
8.5858, 5.0010
8.5903, 5.0010
8.5948, 5.0010
8.5993, 5.0010
8.6038, 5.0010
8.6083, 5.0010
8.6128, 5.0010
8.6173, 5.0010
8.6218, 5.0010
8.6263, 5.0010
8.6308, 5.0009
8.6353, 5.0009
8.6398, 5.0009
8.6443, 5.0009
8.6488, 5.0009
8.6533, 5.0008
8.6578, 5.0008
8.6623, 5.0008
8.6668, 5.0007
8.6713, 5.0007
8.6758, 5.0007
8.6803, 5.0006
8.6848, 5.0006
8.6893, 5.0006
8.6938, 5.0005
8.6983, 5.0005
8.7029, 5.0005
8.7074, 5.0004
8.7119, 5.0004
8.7164, 5.0003
8.7209, 5.0003
8.7254, 5.0003
8.7299, 5.0002
8.7344, 5.0002
8.7389, 5.0001
8.7434, 5.0001
8.7479, 5.0001
8.7524, 5.0000
8.7569, 5.0000
8.7614, 4.9999
8.7659, 4.9999
8.7704, 4.9998
8.7749, 4.9998
8.7794, 4.9998
8.7839, 4.9997
8.7884, 4.9997
8.7929, 4.9997
8.7974, 4.9996
8.8019, 4.9996
8.8064, 4.9996
8.8109, 4.9995
8.8154, 4.9995
8.8199, 4.9995
8.8244, 4.9994
8.8289, 4.9994
8.8334, 4.9994
8.8379, 4.9994
8.8424, 4.9993
8.8469, 4.9993
8.8514, 4.9993
8.8559, 4.9993
8.8604, 4.9993
8.8649, 4.9993
8.8694, 4.9992
8.8739, 4.9992
8.8784, 4.9992
8.8829, 4.9992
8.8874, 4.9992
8.8919, 4.9992
8.8964, 4.9992
8.9010, 4.9992
8.9055, 4.9992
8.9100, 4.9992
8.9145, 4.9992
8.9190, 4.9992
8.9235, 4.9992
8.9280, 4.9992
8.9325, 4.9992
8.9370, 4.9992
8.9415, 4.9993
8.9460, 4.9993
8.9505, 4.9993
8.9550, 4.9993
8.9595, 4.9993
8.9640, 4.9993
8.9685, 4.9994
8.9730, 4.9994
8.9775, 4.9994
8.9820, 4.9994
8.9865, 4.9995
8.9910, 4.9995
8.9955, 4.9995
9.0000, 4.9995
